name,sex,age,height,weight,team,year,season,sport,event,medal,country
Juhamatti Tapio Aaltonen,M,28.0,184.0,85.0,Finland,2014.0,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze,Finland
Kjetil Andr Aamodt,M,30.0,176.0,85.0,Norway,2002.0,Winter,Alpine Skiing,Alpine Skiing Men's Super G,Gold,Norway
Kjetil Andr Aamodt,M,30.0,176.0,85.0,Norway,2002.0,Winter,Alpine Skiing,Alpine Skiing Men's Combined,Gold,Norway
Kjetil Andr Aamodt,M,34.0,176.0,85.0,Norway,2006.0,Winter,Alpine Skiing,Alpine Skiing Men's Super G,Gold,Norway
Ragnhild Margrethe Aamodt,F,27.0,163.0,73.0,Norway,2008.0,Summer,Handball,Handball Women's Handball,Gold,Norway
Giovanni Abagnale,M,21.0,198.0,90.0,Italy,2016.0,Summer,Rowing,Rowing Men's Coxless Pairs,Bronze,Italy
Jos Luis Abajo Gmez,M,30.0,194.0,87.0,Spain,2008.0,Summer,Fencing,"Fencing Men's epee, Individual",Bronze,Spain
Patimat Abakarova,F,21.0,165.0,49.0,Azerbaijan,2016.0,Summer,Taekwondo,Taekwondo Women's Flyweight,Bronze,Azerbaijan
Mariya Vasilyevna Abakumova (-Tarabina),F,22.0,179.0,80.0,Russia,2008.0,Summer,Athletics,Athletics Women's Javelin Throw,Silver,Russia
Aleksey Aleksandrovich Abalmasov,M,28.0,180.0,83.0,Belarus,2008.0,Summer,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold,Belarus
Luc Abalo,M,23.0,182.0,86.0,France,2008.0,Summer,Handball,Handball Men's Handball,Gold,France
Luc Abalo,M,27.0,182.0,86.0,France,2012.0,Summer,Handball,Handball Men's Handball,Gold,France
Luc Abalo,M,31.0,182.0,86.0,France,2016.0,Summer,Handball,Handball Men's Handball,Silver,France
Stephen Anthony Abas,M,26.0,165.0,55.0,United States,2004.0,Summer,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver,United States
Tamila Rashidovna Abasova,F,21.0,163.0,60.0,Russia,2004.0,Summer,Cycling,Cycling Women's Sprint,Silver,Russia
Jol Marc Abati,M,38.0,190.0,85.0,France,2008.0,Summer,Handball,Handball Men's Handball,Gold,France
"Desmond ""Des"" Abbott",M,21.0,184.0,87.0,Australia,2008.0,Summer,Hockey,Hockey Men's Hockey,Bronze,Australia
Jeremy Abbott,M,28.0,175.0,70.0,United States,2014.0,Winter,Figure Skating,Figure Skating Mixed Team,Bronze,United States
Monica Cecilia Abbott,F,23.0,191.0,88.0,United States,2008.0,Summer,Softball,Softball Women's Softball,Silver,United States
Nia Nicole Abdallah,F,20.0,175.0,56.0,United States,2004.0,Summer,Taekwondo,Taekwondo Women's Featherweight,Silver,United States
Saeid Morad Abdevali,M,26.0,170.0,80.0,Iran,2016.0,Summer,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze,Iran
